product_title,price,rating,review_count,availability
"iDiskk App-le Certified 2TB Portable External Hard Drive for iPhone,iPad Android Phones,MacBook,Computer to Backup Docs| Photos | Videos,iPhone 15 & 16 Photo Stick Photo Storage Phone Drive",123.99,4.0 out of 5 stars,134 ratings,In Stock
"iDiskk 2TB App-le Certified External Hard Drive for iPhone 16,15 & iPad Android Mobile 2TB Photo Stick,MacBook and PC, Photo Storage Phone Drive to Bacukp Photos/Videos,Files for iPhone14/13/12/11/X",123.99,3.8 out of 5 stars,112 ratings,In Stock
"ThePhotoStick® Omni 128GB - Secure Photo & Video Backup and Transfer | Digital File Organization | USB & Multiport Connection for Phones, Tablets and Computers | Portable Memory | External Storage",79.99,3.7 out of 5 stars,"6,232 ratings",In Stock
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",69.99,4.6 out of 5 stars,"262,162 ratings",In Stock
"SAMSUNG 990 PRO SSD NVMe M.2 PCIe Gen4, M.2 2280 Internal Solid State Hard Drive, Seq. Read Speeds Up to 7,450 MB/s for High End Computing, Gaming, and Heavy Duty Workstations, MZ-V9P2T0B/AM",169.49,4.8 out of 5 stars,"10,335 ratings",In Stock
"SanDisk 2TB Extreme Portable SSD - Up to 1050MB/s, USB-C, USB 3.2 Gen 2, IP65 Water and Dust Resistance, Updated Firmware - External Solid State Drive - SDSSDE61-2T00-G25",139.08,4.6 out of 5 stars,"70,655 ratings",In Stock
"ThePhotoStick® Omni 128GB - Secure Photo & Video Backup and Transfer | Digital File Organization | USB & Multiport Connection for Phones, Tablets and Computers | Portable Memory | External Storage",79.99,3.7 out of 5 stars,"6,232 ratings",In Stock
"SAMSUNG 990 EVO SSD 2TB, PCIe Gen 4x4, Gen 5x2 M.2 2280 NVMe Internal Solid State Drive, Speeds Up to 5,000MB/s, Upgrade Storage for PC Computer, Laptop, MZ-V9E2T0B/AM, Black",129.99,4.7 out of 5 stars,"1,693 ratings",In Stock
"Western Digital WD_BLACK 1TB SN770 NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 5,150 MB/s - WDS100T3X0E",69.99,4.8 out of 5 stars,"19,365 ratings",
"WD_BLACK 2TB SN850P NVMe M.2 SSD Officially Licensed Storage Expansion for PS5 Consoles, up to 7,300MB/s, with heatsink - WDBBYV0020BNC-WRSN",179.99,4.8 out of 5 stars,"5,525 ratings",
"Crucial BX500 1TB 3D NAND SATA 2.5-Inch Internal SSD, up to 540MB/s - CT1000BX500SSD1, Solid State Drive",57.90,4.7 out of 5 stars,"122,037 ratings",In Stock
"UnionSine 1TB Ultra Slim Portable External Hard Drive HDD-USB 3.0 for PC, Mac, Laptop, PS4, Xbox one, Xbox 360-HD2510(Black)",54.89,4.5 out of 5 stars,"44,305 ratings",In Stock
"Kingston Ironkey Keypad 200 128GB Encrypted USB | Alphanumeric Keypad | Multi-Pin Access | XTS-AES 256-bit | FIPS 140-3 Level 3 Certified | Brute Force & BadUSB Protection | IKKP200/128GB,Blue",174.99,4.4 out of 5 stars,157 ratings,In Stock
"500GB Portable External Hard Drive, USB3.1 Gen 1 Type C Ultra Slim 2.5'' HDD Storage Compatible for PC, Desktop, Laptop, Mac, Xbox One (Silver)",30.99,4.2 out of 5 stars,536 ratings,
"256GB Flash Drives Intended for iPhone, Memory Stick Storage for Photos and Videos Backup, Compatible with iPhone iPad Android PC, Plug and Play, No Application Required (Dark Blue)",39.99,4.5 out of 5 stars,82 ratings,In Stock
"SAMSUNG T7 Portable SSD, 1TB External Solid State Drive, Speeds Up to 1,050MB/s, USB 3.2 Gen 2, Reliable Storage for Gaming, Students, Professionals, MU-PC1T0T/AM, Gray",99.99,4.8 out of 5 stars,"33,562 ratings",
"Amazon Basics 128 GB Ultra Fast USB 3.1 Flash Drive, Black",9.99,4.6 out of 5 stars,"19,941 ratings",In Stock
"WD_BLACK 2TB SN850X NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 7,300 MB/s - WDS200T2X0E",149.99,4.8 out of 5 stars,"22,837 ratings",
